Agency Name,highlight_flag,upt,Vehicle Miles per Revenue Hour,.group
Chicago Transit Authority(CTA),FALSE,237276400,9.08418450799622,1
City and County of Honolulu(DTS),FALSE,62554365,12.703826251473672,2
City and County of San Francisco(SFMTA),FALSE,160050896,7.37312671612433,3
Denver Regional Transportation District(RTD),FALSE,69731784,12.63968699736408,4
King County Department of Metro Transit(KCM),FALSE,121735703,10.60667365560254,5
Los Angeles County Metropolitan Transportation Authority (LACMTA),FALSE,266887614,10.438424749794878,6
MTA Bus Company(MTABUS),FALSE,135080070,8.005918324338465,7
MTA New York City Transit(NYCT),FALSE,691616614,7.0591120967825125,8
Maryland Transit Administration(MTA),FALSE,63988571,11.125978888594435,9
Massachusetts Bay Transportation Authority(MBTA),FALSE,103274228,7.979711131623903,10
"Metropolitan Transit Authority of Harris County, Texas (Metro)",FALSE,59544025,12.131616159455643,11
New Jersey Transit Corporation(NJ TRANSIT),FALSE,151065577,13.8953443306547,12
Regional Transportation Commission of Southern Nevada(RTC),FALSE,64473581,11.707393421291178,13
Southeastern Pennsylvania Transportation Authority(SEPTA),TRUE,158452236,9.9804730453418,14
Washington Metropolitan Area Transit Authority(WMATA),FALSE,123333115,9.885012585706853,15
