UZA Name,highlight_flag,upt,Vehicle Miles per Revenue Hour,.group
"Baltimore, MD",FALSE,66639768,11.276806462613141,1
"Boston, MA-NH-RI",FALSE,110140156,9.004900394674957,2
"Chicago, IL-IN",FALSE,264471209,10.743921925863413,3
"Denver-Aurora, CO",FALSE,69736008,12.644031860903512,4
"Las Vegas-Henderson, NV",FALSE,64473581,11.707393421291178,5
"Los Angeles-Long Beach-Anaheim, CA",FALSE,405758235,10.828119793599218,6
"Miami, FL",FALSE,88161337,13.59409128563008,7
"New York-Newark, NY-NJ-CT",FALSE,1049438962,10.434831769792453,8
"Philadelphia, PA-NJ-DE-MD",TRUE,165826075,11.206913167755191,9
"Portland, OR-WA",FALSE,62837770,11.48699010582522,10
"San Francisco-Oakland, CA",FALSE,229214714,10.05577151421517,11
"Seattle, WA",FALSE,138747618,11.139595326097758,12
"Urban Honolulu, HI",FALSE,62554365,12.703826251473672,13
"Washington, DC-VA-MD",FALSE,168909654,11.179963894372314,14
